index,country,content1,content2,content3
72,싱가포르,"▸3.4.(수) 23:59부터 입국 전 14일 이내 한국, 중국, 이탈리아(북부), 이란을 방문한 외국인 대상 입국‧경유 금지(3.3.) ※ 3.15.(일) 23:59부터 입국 전 14일 이내 이탈리아, 프랑스, 스페인, 독일을 방문 후 
입국한 외국인 대상 입국‧경유 금지(3.13.) ※ 싱가포르 시민, 영주권자 및 장기체류 비자 소지자에 한해 입국 후 14일간 자가 
격리 및 유증상 시 시설(지정병원) 격리(3.5.) - 자가격리위반시비자말소, 즉시추방, 영구입국금지등강력한제재조치즉각시행 
※ 장기 체류비자 소지자 중 취업비자(동반자 포함) 소지자는 입국 전 고용주를 통해 인력부의 사전 입국 승인서를 지참 후 항공기 탑승 가능",,
73,아르헨티나,"▸한국, 중국, 일본, 이란, 미국, EU 및 쉥겐 국가 방문 후 입국한 내외국인 대상 14 일간 자가격리(3.11) 
※ 한국, 중국, 이란, 일본, 미국, 영국, 북아일랜드, EU 및 쉥겐 국가 대상 비자 발급 일 시 중단(3.12.)",,
74,아이슬란드,"▸입국 전 14일 이내 한국, 중국, 이탈리아, 이란 등을 방문 후 입국한 외국인 대상 자가격리, △확진 판정 시 발열 증상 소거 후 최대 10일간 격리(2.26.)",,
75,아이티,"▸입국 전 14일 이내 한국, 중국, 이란, 이탈리아, 프랑스, 독일을 방문 후 입국한 외국인 대상 입국금지(3.9.)",,
76,아제르바이잔,"▸입국한 모든 외국인은 건강상태에 따라 14일간 지정시설 격리 또는 자가 격리(3.13.) ▸한국 포함 15개국에 제공된 온라인 비자 발급 및 도착 비자 발급 중단(3.13.) 
※ 코로나19 다수 발병국(1,000명 이상) 국민은 비자 신청 시 코로나19 음성확인서 제출 필수",,
77,알바니아,▸코로나19 발생지역 방문 후 입국한 여행객 대상 14일간 자가격리(3.11.),,
78,앙골라,"▸한국, 중국, 이란, 이탈리아를 방문 후 입국한 외국인 (여행, 사업 등 단기방문자) 대상 입국금지(3.6.) 
※ 영주, 노동, 외교 비자 소지자 등 장기 체류(거주자) 대상 14일간 의무격리(3.6.)",,
79,에리트리아,"▸한국, 중국, 이탈리아, 이란을 방문‧경유 후 입국한 외국인 대상 격리(3.11.)",,
80,에콰도르,"▸입국 전 14일 이내 한국, 중국(후베이성.광둥성), 이란, 이탈리아, 스페인, 프랑스, 독일를 방문한 내외국인 대상 의무적 자가 격리(3.13.) ※ 자가 격리 장소로 자가차량 또는 택시를 이용해야 하며, 격리장소 및 이동수단을 
입국 전 미리 예약하고, 입국 시 14일간 체류할 장소, 경제적 능력, 이동 수단 예약 
등에 관한 증빙서류를 제출해야함. ※ 무증상 시 자가 격리는 최대 14일이며, 자가 격리 끝나기 이전 출국 가능(3.13.)",,
81,에티오피아,"▸한국, 중국 등을 방문 후 입국한 내외국민 대상 △14일간 자가격리, △전화 모니터링, △건강상태 정보제공 권고(2.18.) 
▸한국, 중국, 이탈리아, 이란, 일본을 방문 후 입국한 내외국민 대상 △발열검사, △건강신고서(주재국 내 연락처 포함) 추가 작성 요구(3.2.)",,
82,엘살바도르,"▸모든 외국인 입국금지(3.12.) ※ 외교관의 경우 공항에서 검사 실시 후 음성판정(6-7시간 소요) 시 격리 없이 
입국 허용",,
83,영국,"▸대구, 후베이성, 이란을 방문 후 입국한 외국인 자가 격리 의무(3.13.) ※ 유증상자 7일간 자가 격리 및 증상 악화 시 온라인(111.nhs.uk) 또는 유선(999) 
으로 연락",,
84,오만,"▸입국 전 14일 이내 한국, 중국, 이란, 이탈리아, 이집트 등을 방문 후 입국한 외국 인 대상 입국금지(3.8.) 
※ 3.15.부터 모든 국가에 대한 관광비자 발급 중단(3.12)",,
85,오스트리아,"▸3.11. 부터 입국 전 14일 이내 한국, 중국(후베이성), 이란, 이탈리아(북부지역) 방 문 후 입국(경유 포함)한 외국인(EU국적자 제외) 대상 코로나19 음성판정 확인서 (입국전 4일 이내 발급본 인정) 제시 절차 시행(3.9.) 
※ 오스트리아-이탈리아간 기차편 모두 중단(3.13.)",,
86,온두라스,"▸한국, 중국, 유럽, 이란발 외국인 대상 입국금지(3.12.) ※ 자국민, 온두라스 거주자격취득 외국인, 외교관은 상기조치에 해당하지 않으나 
입국 즉시 의무적 자가격리",,
87,요르단,"▸입국 전 14일 이내 한국, 이란을 방문 후 입국한 외국인 대상 입국금지(2.23.) ※ 중국(2.2), 이탈리아(2.24), 독일.프랑스.스페인(3.16부터)을 방문한 외국인 입국 금지",,
88,우간다,"▸입국 전 14일 이내 한국, 중국, 일본, 이란, 이탈리아, 프랑스, 독일, 스페인, 산마리노, 벨 기에, 미국, 영국, 네덜란드, 스웨덴, 노르웨이, 오스트리아, 말레이시아를 방문 후 입국한 내외국민 대상 14일간 자가격리 권고(2.27.)",,
89,우즈베키스탄,"▸입국 전 14일 이내 한국, 중국, 이탈리아, 이란, 프랑스, 스페인을 방문 후 입국한 외국인 입국 금지(3.14.)",,
90,우크라이나,▸3.15부터 2주간 모든 외국인 입국 및 경유 금지(3.13.) ※ 거주권자(영구/임시)는 동 조치에서 제외,,
91,이라크,"▸한국, 중국, 이란, 태국, 일본, 이탈리아, 싱가포르, 쿠웨이트, 바레인, 프랑스, 스페 인 국적자에 대해 출발지와 무관하게 입국금지(3.8.) 
▸입국 전 14일 이내 한국, 태국, 일본, 이탈리아, 싱가포르를 방문 후 입국한 외국인 대 상 입국금지(2.25.) ※ 외교관 및 공식방문단은 입국가능",,
,,"▸(쿠르드지방정부) 2020.1.1. 이후 한국, 중국, 이란, 태국, 일본, 이탈리아, 싱가포르, 쿠웨이트, 바레인을 방문 후 입국한 외국인 대상 입국금지(2.26.) ※ 외교관 및 공식방문단은 입국가능 / 2020.1.1이후 상기 9개국 미방문자에 한해 입국 허용",,
92,이스라엘,"▸모든 외국인의 경우 입국 금지(3.9.) / 모든 외국에서 입국한 내국인의 경우 14일간 자가격리 
※ 코로나19 저확산 국가.지역을 방문 후 입국한 외국인 대상 이스라엘 내 안정적 거주지가 있을 경우 입국가능하나 14일간 자가격리 
※ 현재 이스라엘 잔류 중인 여행객들은 조속히(수일 내) 출국 요망 ※ 이스라엘-팔레스타인 간 이동 전면 금지(3.5.)",,
93,인도,"▸(기존 비자 효력 중단) 3.3 이전 한국, 일본, 이란, 이탈리아 국적자에게 발급된 기존 비자 효력 중단(3.4) ※ 모든 외국인에게 발급된 기존 비자 효력 중단(3.13 인도시간 17:30(GMT 12:00부터) 
▸(신규비자 발급 중단) 모든 외국인 대상 일부 긴급한 사유를 제외하고 신규비자 발급 중단(3.13) 
▸(격리조치) 2.15 이후 한국, 중국, 이탈리아, 이란, 프랑스, 스페인, 독일을 방문한 여행 객에 대해 최소 14일간 별도 시설 또는 자가 격리 조치(3.13 인도시간 17:30(GMT 12:00)부터) 
▸(코로나19 음성 확인서) 3.10부터 한국, 이탈리아를 방문한 여행객의 경우, 비자 신청 및 입국 시 코로나19 음성 확인서 제출 필요(3.10)",,
94,인도네시아,"▸3.8. (현지시간 00:00)시부터 입국 전 14일 이내 대구.경북 지역을 방문 후 입국한 외국 인 대상 입국금지 ※ 한국발 입국자(국적불문)는 출국시 항공사 카운터에 영문 건강확인서 제시(입국시 소지) 
- 영문 건강확인서는 △출국 전 7일 이내 민간 병‧의원에서 발급한 것으로 별도의 공 증 또는 영사확인은 불요, △열, 기침과 같은 호흡기 증상이 없음과 함께 ‘여행하 기에 적합한 상태’라는 내용 및 검사일.출발일이 명시될 필요 
※ (주의) 인도네시아 현지 이민당국에서 제3국 출발 여부, 한국 외 지역에서 14일 체류 여부와 무관하게 한국인에게 건강확인서를 요구하는 사례가 발생하고 있으므로, 건 강확인서 지참 권장",,
